m=4, n=12, q=2, M0=5104, M1=4955 
m=4, n=12, q=3, M0=3404, M1=6657 
m=4, n=12, q=5, M0=6493, M1=4544 
m=4, n=12, q=7, M0=5980, M1=7191 
m=4, n=12, q=11, M0=8320, M1=8953 
m=4, n=12, q=13, M0=9516, M1=8949 
m=4, n=12, q=17, M0=9896, M1=9671 
m=4, n=12, q=19, M0=9892, M1=9935 
m=4, n=12, q=23, M0=9982, M1=9991 
m=4, n=12, q=29, M0=10000, M1=9998 
m=4, n=12, q=31, M0=10000, M1=9999 
m=4, n=12, q=37, M0=10000, M1=10000 
m=4, n=12, q=41, M0=10000, M1=10000 
m=4, n=12, q=43, M0=10000, M1=10000 
m=4, n=12, q=47, M0=10000, M1=10000 
m=4, n=12, q=53, M0=10000, M1=10000 
m=4, n=12, q=59, M0=10000, M1=10000 
m=4, n=12, q=61, M0=10000, M1=10000 
m=4, n=12, q=67, M0=10000, M1=10000 
m=4, n=12, q=71, M0=10000, M1=10000 
m=4, n=12, q=73, M0=10000, M1=10000 
m=4, n=12, q=79, M0=10000, M1=10000 
m=4, n=12, q=83, M0=10000, M1=10000 
m=4, n=12, q=89, M0=10000, M1=10000 
m=4, n=12, q=97, M0=10000, M1=10000 
m=4, n=12, q=101, M0=10000, M1=10000 
m=4, n=12, q=103, M0=10000, M1=10000 
m=4, n=12, q=107, M0=10000, M1=10000 
m=4, n=12, q=109, M0=10000, M1=10000 
m=4, n=12, q=113, M0=10000, M1=10000 
m=4, n=12, q=127, M0=10000, M1=10000 
m=4, n=12, q=131, M0=10000, M1=10000 
m=4, n=12, q=137, M0=10000, M1=10000 
m=4, n=12, q=139, M0=10000, M1=10000 
m=4, n=12, q=149, M0=10000, M1=10000 
m=4, n=12, q=151, M0=10000, M1=10000 
m=4, n=12, q=157, M0=10000, M1=10000 
m=4, n=12, q=163, M0=10000, M1=10000 
m=4, n=12, q=167, M0=10000, M1=10000 
m=4, n=12, q=173, M0=10000, M1=10000 
m=4, n=12, q=179, M0=10000, M1=10000 
m=4, n=12, q=181, M0=10000, M1=10000 
m=4, n=12, q=191, M0=10000, M1=10000 
m=4, n=12, q=193, M0=10000, M1=10000 
m=4, n=12, q=197, M0=10000, M1=10000 
m=4, n=12, q=199, M0=10000, M1=10000 
